"STATION","NAME","DATE","AWND","DAPR","DASF","MDPR","MDSF","PGTM","PRCP","PSUN","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS","TSUN","WDF2","WDF5","WESD","WESF","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09","WT10","WT11"
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2014-01-01",,,,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2014-01-02",,,,,,,"0.01",,,,,,,,,,,,,,,,,,,,,,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2014-01-07",,"    5",,"0.95",,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2014-01-08",,,,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2014-01-09",,,,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2014-01-10",,,,,,,"0.00",,,,,,,,,,,,,,,,,,,,,,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2014-01-12",,"    2",,"0.64",,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2014-01-13",,,,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2014-01-14",,,,,,,"0.01",,,,,,,,,,,,,,,,,,,,,,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2014-01-15",,,,,,,"0.41",,,,,,,,,,,,,,,,,,,,,,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2014-01-16",,,,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2014-01-17",,,,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2014-01-18",,,,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2014-01-19",,,,,,,"0.14",,,,,,,,,,,,,,,,,,,,,,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2014-01-20",,,,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2014-01-21",,,,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2014-01-22",,,,,,,"0.18",,,,,,,,,,,,,,,,,,,,,,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2014-01-23",,,,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2014-01-24",,,,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2014-01-27",,"    3",,"0.04",,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2014-01-28",,,,,,,"0.00",,,,,,,,,,,,,,,,,,,,,,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2014-01-29",,,,,,,"0.03",,,,,,,,,,,,,,,,,,,,,,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2014-01-30",,,,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2014-01-31",,,,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2014-02-01",,,,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2014-02-02",,,,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2014-02-03",,,,,,,"0.12",,,,,,,,,,,,,,,,,,,,,,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2014-02-06",,"    3",,"1.74",,,,,,"8.0",,,,,,,,,,,,,,,,,,,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2014-02-07",,,,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2014-02-08",,,,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2014-02-09",,,,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2014-02-10",,,,,,,"0.07",,,,,,,,,,,,,,,,,,,,,,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2014-02-11",,,,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2014-02-12",,,,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2014-02-14",,"    2",,"1.60",,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2014-02-19",,"    5",,"0.13",,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2014-02-20",,,,,,,"0.26",,,,,,,,,,,,,,,,,,,,,,,,
